title,desc,date,link
贵州集中销毁5000余件假冒伪劣消防产品,...秩序，从源头上消除因消防产品质量问题造成的火灾隐患，贵州省各级消防部门连日来集中销毁了5000余件假冒伪劣消防产品。消防产品在火灾发生时能够起到报警、阻止火势蔓延、扑救火灾的作用。但是由于消防产品...大，从而有不法商家铤而走险制假售假，以获取更大利益。贵州省消防总队防火监督部副部长勾清泉介绍，假冒伪劣消防产品一旦投入使用，不仅造成消费者的巨大消费损失，而且导致消防设施、器材无法正常使用，造成先天性...,2017-03-15 20:52,http://www.njdaily.cn/2017/0315/1591171.shtml
国务院：侵权和假冒伪劣案纳入政府信息公开范围,...网消息，国务院总理温家宝12日主持召开国务院常务会议。会议讨论通过《关于做好打击侵犯知识产权和制售假冒伪劣商品工作中行政执法与刑事司法衔接的意见》。《意见》要求行政执法机关依法将侵权和假冒伪劣案件纳入政府信息公开范围，接受社会监督。《意见》规定：(一)行政执法机关在依法查处侵权和假冒伪劣违法行为过程中，发现违法事实涉嫌构成犯罪、依法需要追究刑事责任的，应当依照有关规定向同级公安机关...,2012-09-12 18:42,http://www.njdaily.cn/2012/0912/228433.shtml
马云出席离任前发布会：淘宝将彻底打掉假冒伪劣毒瘤,...假冒伪劣的最大受害者之一，淘宝网对此有切肤之痛，必须采用更多手段彻底打掉这个毒瘤。”马云发表演讲时说，“这是阿里巴巴集团...以及具体工作承接和协作等方面多头推进，真正实现知识产权保护和制售假冒伪劣商品线上线下的同步管理，力求对制假、售假者斩草除根，真正形成一...”转变，由“各自为战”向“协同作战”转变，由“协议约定”向“体制规范”转变，对假冒伪劣和侵犯知识产权行为进行全方位、全领域的全面出击。过去数年来...,2013-04-23 22:43,http://www.njdaily.cn/2013/0423/387217.shtml
南京市工商局集中销毁420万元假冒伪劣商品,...，南京市工商局正采用环保、无害化的方式，对12类160余个品种、案值420余万元的假冒伪劣商品进行集中公开销毁。在销毁现场，工人们将假冒伪劣...、机械类等不同类别，先通过外力冲击、浸泡、切割等手段，破坏假冒伪劣商品的使用价值，然后再作分类处理，回收再利用或作无害化处理。...铁、铝等金属拆卸下来回收利用。市工商局公平交易局负责人介绍，以前处理假冒伪劣商品主要采取两种方式，焚烧和深埋，操作简单，但不环保...,2014-03-14 18:29,http://www.njdaily.cn/2014/0314/777133.shtml
广东惠州警方破获一宗特大假冒伪劣避孕套案,...日从广东惠州市公安局经侦支队获悉，该支队破获一宗特大生产、销售假冒伪劣避孕套案，涉嫌假冒“杜雷斯、杰士邦、诺丝、第6感”等...半个多月侦查，专案组民警发现商品房内可能在进行地下的生产、销售假冒伪劣避孕套，而且数额可能十分巨大。在监控到嫌疑人齐全聚集、存有货物等抓捕...4个国际品牌的中国注册公司，根据这些公司寄来的鉴定报告，证实缴获的这批避孕套都为假冒伪劣产品。经审讯，犯罪嫌疑人对从事生产、销售假冒伪劣...,2015-06-12 13:08,http://www.njdaily.cn/2015/0612/1144157.shtml
南京消协调查显示 5成消费者网购到假冒伪劣纸尿裤,...传统消费习惯的同时，也暴露出诸多问题，最突出的便是假冒伪劣。日前，南京消协联合全国19家消协组织开展了婴儿纸尿裤消费行为调查，结果显示，有50.61％的消费者网购买到假冒伪劣纸尿裤。网购渠道抢风头 假冒伪劣问题多调查结果显示，有47.76％的受访者通过母婴专营店...受访者选择网购。不过，有50.61％的消费者网购纸尿裤时遇到假冒伪劣。此外，售后服务问题也十分棘手，有31.22％的受访者表示遭遇过...,2015-07-10 07:57,http://www.njdaily.cn/2015/0710/1163945.shtml
天津成假盐重灾区 部分村假冒伪劣盐食用率达80%,记者今天从中国盐业总公司举办的媒体开放日上了解到，天津近年来已成假冒伪劣有毒有害食盐的重灾区，市场合格碘盐供应量不断下滑。今年7月在宝坻地区...%，这背后有着多重因素。一方面，天津交通便利，又是港口城市，历来假冒伪劣食盐冲击市场严重，另一方面，受利益驱使，造假窝点屡打不绝。...7月1日，江苏泰州盐务局与公安局联手破获了一起制售2万吨的有毒有害假冒伪劣食盐大案，造假历时长达七年之久，涉及北京、天津、河北...,2015-08-12 06:27,http://www.njdaily.cn/2015/0812/1188687.shtml
关于印发《2016年南京市打击侵犯知识产权和制售假冒伪劣商品工作要点》的通知,...，市府各委办局，市各直属单位：经市政府同意，现将《2016年南京市打击侵犯知识产权和制售假冒伪劣商品工作要点》印发给你们，请认真贯彻执行并组织实施。南京市人民政府办公厅2016年8月25日2016年...提供有力支撑。一、突出重点领域开展专项整治（一）加强互联网领域侵权假冒行为治理。打击网上销售假冒伪劣商品。突出食品药品、农资、家用电器、建筑材料、汽车配件、儿童用品等重点商品，加强执法协作，...,2016-09-27 17:26,http://www.njdaily.cn/2016/0927/1492324.shtml
南京工商局环保销毁价值361万元的假冒伪劣商品,...。昨天下午，南京市工商局采用环保、无害化的方式，将去年一年来查获的假冒伪劣商品进行了公开销毁，销毁的产品涉及酒、食品、化妆品、洗化用品...万元。据悉，这是从2007年开始，南京第四次采取无害化方式集中销毁假冒伪劣产品。销毁的场地选在南京环务资源再生科技有限公司。据该公司副总...两种方式，对土地和大气产生很大污染。现在的方法是先将假冒伪劣商品按照食品、日用品、电子电器等不同类别分类，根据其不同进行特性处理...,2013-03-12 14:21,http://www.njdaily.cn/2013/0312/347799.shtml
委员建议重治假冒伪劣产品 违法成本依然太低,...会议昨天审议消费者权益保护法修正案草案（简称消法修正案草案）。有委员提出，对假冒伪劣产品应重点治理，不应容忍，目前的草案在欺诈等行为的惩戒措施上...在昨天的审议中，该条成为委员关注的焦点。温孚江委员认为，假冒伪劣产品不单影响全国消费者的权益，也直接影响到我国在国际上的形象，...，这样就可以不追究了？”温孚江认为，采取比较容忍的态度是目前假冒伪劣不断的原因之一，草案第54条仍“手下太留情”。“法律不能规定太...,2013-08-28 08:13,http://www.njdaily.cn/2013/0828/561895.shtml
假冒伪劣食品扎堆春节 农村地区成“卸货场”,...中国农村正以惊人的速度成为问题食品的“卸货场”。过期食品翻新登场、假冒伪劣食品扎堆横行，一些在大城市里几乎无处遁形的问题食品，却在农村...食品横行乡里 “舌尖上的安全”引忧有媒体分析称，追根溯源，农村之所以有假冒伪劣产品生根的土壤，从某种程度上确实与农村消费者消费水平不高、辨别...如白文军所言，记者在走访中发现，越来越多的农村消费者对这种假冒伪劣食品很不满意，但很多时候只能无奈接受。基于此，有媒体撰文...,2014-02-07 09:38,http://www.njdaily.cn/2014/0207/743198.shtml
溧水收缴800余箱假冒伪劣烟花爆竹,...翔 杨长喜）近日，溧水区公安分局、安监局等部门联合开展收缴假冒伪劣烟花爆竹行动，通过走访排查，日前在该区和凤镇一废弃厂房内收缴800余箱假冒伪劣烟花爆竹。这些假冒伪劣烟花爆竹品种有烟花、双响、笛音雷、高空炮等品种，现已临时存放在指定的安全地点，将适时集中...治安处罚。该区相关部门人士表示，将继续加大烟花爆竹安全监管力度，严厉查处储存、运输、销售假冒伪劣烟花爆竹违法行为和当事人，消除不安全隐患。,2014-02-10 17:17,http://www.njdaily.cn/2014/0210/746191.shtml
南京严打假冒伪劣商品 电子产品、儿童用品为重点,... 邹伟）从本月起到11月，全市工商系统将开展“2014红盾网剑专项行动”，严打网络虚假宣传、销售假冒伪劣商品等违法行为。今天（7月16日），南京市工商局通报了今年上半年查处的网络交易违法典型案例，以及专项...的公司进行经营，违反了《公司法》相关规定，顾某最终被工商部门罚款1万元。部署：专项行动剑指假冒伪劣商品市工商局市场处处长王荣介绍，今年上半年，全市工商系统已经检查了150多个网站，共发现问题...,2014-07-16 16:38,http://www.njdaily.cn/2014/0716/891624.shtml
加油潜规则 江苏去年发生20多起假冒伪劣燃油案,没想到，加油也有“潜规则” “调和汽油”坑人坑车 去年全省20多起假冒伪劣燃油案案值2.5亿  油价接连下跌，让有车一族很欢欣，但您是否注意到，现在有些加油站会给您加“...除此之外，有关部门加强了对车用燃油经营行为的监督管理、严格成品油流通企业的市场准入、加强成品油税收秩序检查、做好假冒伪劣商品环境无害化处理，加强对假劣车用燃油无害化处理的监督管理，确保假劣车用燃油得到有效处置，避免造成二次污染...,2015-01-23 07:52,http://www.njdaily.cn/2015/0123/1037526.shtml
质检总局局长会见马云 赞成阿里打击假冒伪劣问题,...应约会见了来访的阿里巴巴董事局主席马云。支树平赞成阿里就打击假冒伪劣问题主动寻求各方面支持合作，希望其“看重自己、看重质量”，切实担负起...对带动创业就业、促进经济增长具有重要作用。但是，电子商务领域存在的假冒伪劣等质量问题，必须引起高度重视。质量是电子商务健康发展的生命线，...电子商务健康发展的生命线。他表示，阿里作为知名电商企业，为打击假冒伪劣问题作出了努力，但仍然存在差距和不足。阿里将加强与政府有关...,2015-02-11 09:14,http://www.njdaily.cn/2015/0211/1051959.shtml
无锡破获特大假冒伪劣品牌巧克力案,...产品的嫌疑人王某、徐某等10余人，并查封两处用于生产、加工假冒伪劣产品的窝点，查扣大量用生产工具、商标、原料等，与此同时，警方也在无锡市...罗巧克力的洪某等人抓获归案。上述嫌疑人到案后，对长期以来生产、销售假冒伪劣德芙、费列罗品牌巧克力，并进行销售的违法犯罪事实供认不讳。同时，...到案后，供述出王某的“助手”胡某长期配合王某实施生产、销售假冒伪劣德芙、费列罗品牌巧克力。经警方进一步审查，张某交代，在其...,2016-03-14 20:02,http://www.njdaily.cn/2016/0314/1346046.shtml
严防“假冒伪劣种子”坑农,...，正是农村春耕播种季节，农民们最怕的是买到假冒伪劣种子，让全年的功夫白费。近年来，假冒伪劣种子让农民吃尽了苦头：2010年10月，...大多就近到个体农业服务点购买，依靠的是服务点老板的自律和良心。一旦发生假冒伪劣种子，损失少的情况下，因为维权的成本太高，农民们怕麻烦...轻信某些不良商人的巧舌如簧，让自己的农业生产“输在起跑线上”，一旦遭遇假冒伪劣种子就要敢于拿起法律武器，维护自己的合法权益，让坑农、误农...,2016-03-18 13:31,http://www.njdaily.cn/2016/0318/1349461.shtml
广东出入境检验检疫局查获大量输非假冒伪劣运动服,...国际名牌运动服2000多套，市场价值过百万元人民币。据广东出入境检验检疫局工作人员介绍，此次查获的假冒伪劣商品输出国为非洲的多哥，其产品涉嫌仿冒西班牙皇家马德里足球俱乐部、巴塞罗那足球俱乐部、英国曼彻斯特联队等...为重点，开展中国品牌海外打假维权试点，整合出口商品质量提升。2016年以来，该局共查获进出口假冒伪劣商品案件100多宗，涉案金额上亿元人民币，处罚金额90.5万元人比。假冒伪劣产品以服装、...,2017-05-03 14:40,http://www.njdaily.cn/2017/0503/1611763.shtml
六部门：打击销售假冒伪劣农资 严密监控网售情况,...平台农药、兽药等重点农资经营情况，加强部门联动配合，严厉打击违法发布虚假广告、销售禁用农兽药和假冒伪劣农资行为。——深化改革，严把市场准入关口依法查处无证无照经营活动，坚决打击“黑作坊、黑工厂、黑市场、...农药、兽药等重点农资经营情况，加强部门联动配合，严厉打击违法发布虚假广告、销售禁用农兽药和假冒伪劣农资行为。引导农资电商平台开办者严格审验入场商户及其产品资质，落实消费者质量承诺，监控经营者异常...,2017-05-17 16:37,http://www.njdaily.cn/2017/0517/1616983.shtml
六部门：打击销售假冒伪劣农资 严密监控网售情况,...平台农药、兽药等重点农资经营情况，加强部门联动配合，严厉打击违法发布虚假广告、销售禁用农兽药和假冒伪劣农资行为。——深化改革，严把市场准入关口依法查处无证无照经营活动，坚决打击“黑作坊、黑工厂、黑市场、...农药、兽药等重点农资经营情况，加强部门联动配合，严厉打击违法发布虚假广告、销售禁用农兽药和假冒伪劣农资行为。引导农资电商平台开办者严格审验入场商户及其产品资质，落实消费者质量承诺，监控经营者异常...,2017-05-17 16:49,http://www.njdaily.cn/2017/0517/1616995.shtml
网络成假冒伪劣食药案件高发地 调查取证执法难,...到人”的原则，违法成本较低等，“药品管理法迫切需要抓紧修订。”网络成假冒伪劣食药案件高发地“现在网络上卖药品的比较多，尤其是现在高频...产品泛滥、价格虚高，虚假宣传等怪现象难以遏制。与其他假冒伪劣商品相比，假冒伪劣药品对公众健康的危害，难以估量，且触犯刑法，已引起...(2017年3月1日－5月31日)三个月时间内，破获各类网售假冒伪劣食品药品案件共计155起，捣毁销售有毒有害食品及假药的犯罪窝点34...,2017-07-11 11:19,http://www.njdaily.cn/2017/0711/1633575.shtml
公安机关严打假冒伪劣农资 挽回农民损失3亿元,南报网讯 记者29日从公安部获悉，自今年年初全国公安机关严厉打击假冒伪劣农资犯罪以来，目前已侦破制售假劣农资案件900余起，抓获违法犯罪嫌疑人1700余名，查缴各类假劣种子1.2万余吨...化肥22万余吨、假劣农药220余吨，挽回农民损失3亿余元。公安部有关负责人表示，公安部部署各地严厉打击制售假冒伪劣农资案件，对大要案件挂牌督办，坚决摧毁制假售假源头和产供销犯罪链条。同时，联合农业、工商、质检等部门...,2012-06-29 21:31,http://www.njdaily.cn/2012/0629/168058.shtml
商务部：鼓励公众举报假冒伪劣 完善有奖举报制,...中新网5月30日电 “要建立和完善有奖举报制度，鼓励社会公众举报假冒伪劣行为”，商务部市场秩序司副司长耿洪洲30日在做客中新网...作出如上表述。近期，国务院印发了《2013年全国打击侵犯知识产权和制售假冒伪劣商品工作要点》，国务院总理李克强也强调要加强市场监管，打击...网络平台的作用。同时，要建立和完善有奖举报制度，鼓励社会公众举报假冒伪劣行为。行政执法部门要依法将案件信息纳入政府信息公开范围，案件办...,2013-05-30 12:21,http://www.njdaily.cn/2013/0530/424436.shtml
广东查获货值超千万假冒伪劣商品 涉LV、迪奥等名牌,...对4批准备经香港中转、出口国外的货物查验时发现，所有货物均为假冒伪劣商品，经相关品牌中国总代理负责人现场估算，货值超千万元人民币。本次被...及食品等，涉及国内外多个知名品牌。现已在其中两个集装箱中查获假冒伪劣的LV（路易威登）包1200个，NIKE（耐克）运动鞋...惠企措施的同时，坚持标本兼治，不断加大口岸稽查执法力度，重拳打击出口假冒伪劣商品行为，切实维护市场秩序，维护党和政府的良好形象。近年来，广东...,2013-08-08 11:12,http://www.njdaily.cn/2013/0808/538160.shtml
装饰装修材料市场现假冒伪劣产品,原标题：装饰装修材料市场现假冒伪劣产品新京报讯 (记者冯静)10月22日，北京市工商局发布室内装饰装修材料类商品质量监测警示情况公示。公...很难通过产品判断是否合格，很多不正规的装修队伍知假买假，给了假冒伪劣产品流通机会。建议消费者选择正规店面，选购时查验生产厂名、产品合格证、...报告，购买后应索要正规发票。同时行业协会呼吁推行禁入制，将生产和销售假冒伪劣产品的厂家和经销商列入黑名单。”（新京报 冯静）...,2013-10-24 14:28,http://house.njdaily.cn/2013/1024/629932.shtml
张近东委员：推行电商平台首问负责，系统屏蔽网络假冒伪劣,...负责制，从制度层面促进网络购物平台企业在事前、事中、事后全流程防范假冒伪劣，系统干预屏蔽、快速网络杜绝不法经营行为，切实保障消费者权益和社会...售假行为之所以猖獗，其中一个重要的因素是开放平台缺乏前置约束，导致假冒伪劣产品进入门槛低，后续维权执法成本高。平台企业要建立起前置约束...商户的责任。推行平台首问负责机制，是从平台制度设计层面遏制假冒伪劣的流通，从根本上保障消费者的权益。从长远来看，推行平台首问...,2015-03-04 11:26,http://www.njdaily.cn/2015/0304/1066310.shtml
近六成家长爱网购婴儿纸尿裤 假冒伪劣问题多,...20家消费维权单位联合发布调查报告近六成家长爱网购婴儿纸尿裤，假冒伪劣问题多    南报网讯（通讯员 王芙蓉 记者 邹伟）婴儿纸尿裤有着干...漏尿、腰贴导致孩子皮肤过敏等问题。   网购渠道抢风头，假冒伪劣问题多   在消费模式日新月异的今天，商场、超市已不是消费者选购隔...人们传统消费习惯的同时，也暴露出诸多问题，首当其冲的便是假冒伪劣。本次调查结果显示，有50.61％的消费者网购纸尿裤时遇到过...,2015-07-10 16:00,http://www.njdaily.cn/2015/0710/1164559.shtml
南京多家“微商”销售假冒伪劣 监管亟须加强,假性药、假减肥药等通过微信朋友圈大肆销售“微商”销售假冒伪劣亟待监管南报网讯 （通讯员 张龙俊 记者  周爱明）六合警方近日查获一...都是通过微信支付，卖家则通过快递寄运。 多家“微商”销售假冒伪劣无独有偶。记者从南京警方获悉，今年以来，已有多家“微商”因为销售假冒伪劣被查。 前段时间，鼓楼公安分局侦破一起制售假冒减肥药案件，卖家的销售渠道同样是“微商”。 警方在调查中发现，一名女子在“微...,2015-11-30 07:03,http://www.njdaily.cn/2015/1130/1268790.shtml
中国商务部：将加大电商领域打击假冒伪劣力度,...新闻发言人沈丹阳17日在北京表示，今年将加大电子商务领域打击侵权假冒伪劣的力度。假货一直是中国电商最遭诟病之处。今年中央电视台...多方参与、标准统一的电子商务信用体系。进一步加强电子商务领域打击侵权假冒伪劣的力度，加强知识产权保护，建立公平竞争的市场环境。三是推动...的重点产品以及侵权盗版等突出问题组织相关部门持续开展整治。沈丹阳表示，去年曾经开展过互联网侵权假冒伪劣的专项整治工作，今年会加大力度。...,2016-03-18 07:40,http://www.njdaily.cn/2016/0318/1349037.shtml
